# generator: tools/s2_golden_gen/main.zig v1
# reference: github.com/golang/geo@v0.0.0-20251229110840-fd652594c94c
# seed: 1
# random: 2000
# levels: 0,1,5,10,15,18,30
lat_nano	lon_nano	level	cell_id_hex
-90000000000	0	0	0xb000000000000000
-89999999999	0	0	0xb000000000000000
-89933425285	76020034280	0	0xb000000000000000
-89843428142	-94638516848	0	0xb000000000000000
-89805563897	109748140154	0	0xb000000000000000
-89663810319	-113805192035	0	0xb000000000000000
-89581036845	-138454915482	0	0xb000000000000000
-89523880708	73641166362	0	0xb000000000000000
-89285428296	80669167921	0	0xb000000000000000
-89165044972	-132640007726	0	0xb000000000000000
-89117726039	-129358657110	0	0xb000000000000000
-88998148256	14368948518	0	0xb000000000000000
-88988430028	-2878967741	0	0xb000000000000000
-88987156821	131689066513	0	0xb000000000000000
-88834234836	-177353118774	0	0xb000000000000000
-88780019998	-46858927329	0	0xb000000000000000
-88674236199	-215552593	0	0xb000000000000000
-88664302059	142617804448	0	0xb000000000000000
-88466415828	-100668988556	0	0xb000000000000000
-88425230273	1455165783	0	0xb000000000000000
-88397025880	9166944944	0	0xb000000000000000
-88353471648	17964996148	0	0xb000000000000000
-88308055178	144415543587	0	0xb000000000000000
-88290991536	89402139347	0	0xb000000000000000
-88289332468	-63144534338	0	0xb000000000000000
-88281798197	97385543090	0	0xb000000000000000
-88178040525	-56532318448	0	0xb000000000000000
-88126201717	-104522857284	0	0xb000000000000000
-87921183895	101066414257	0	0xb000000000000000
-87753706462	44866982945	0	0xb000000000000000
-87659733807	122992644445	0	0xb000000000000000
-87505049228	51941219298	0	0xb000000000000000
-87500794852	-14448218319	0	0xb000000000000000
-87417077398	-8939615990	0	0xb000000000000000
-87381826452	-38621257675	0	0xb000000000000000
-87356477690	-74861139623	0	0xb000000000000000
-87304682901	160231693528	0	0xb000000000000000
-87296004963	-29311032448	0	0xb000000000000000
-87178748469	-35739707850	0	0xb000000000000000
-87094095625	-160892226453	0	0xb000000000000000
-86934421551	-104557641152	0	0xb000000000000000
-86889109384	557042698	0	0xb000000000000000
-86796852476	-146495962050	0	0xb000000000000000
-86779836971	-56391155890	0	0xb000000000000000
-86654859603	-29654307479	0	0xb000000000000000
-86595920078	101329586540	0	0xb000000000000000
-86568649783	178536028151	0	0xb000000000000000
-86484636393	-51154052527	0	0xb000000000000000
-86411311176	-81463811295	0	0xb000000000000000
-86370747952	-12910031894	0	0xb000000000000000
-86307645303	-117540405530	0	0xb000000000000000
-86250814044	-8809306208	0	0xb000000000000000
-86244305148	73637100296	0	0xb000000000000000
-86240749624	-85655842283	0	0xb000000000000000
